ID,Name,Description,Contributor,Citation,Language_ID,Contribution_Type,Creator,Year,Contribution_Date,License,Copyright,URL,Source
adnyamathanha,Bible in Adnyamathanha,"The Bible, translated into Adnyamathanha.",ebible.org, (2021): Adnyamathanha Christmas Story [The Bible in Adnyamathanha]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/adt_html.zip,,Primary texts,,2021,2021-11-23,CCBYNCND-4.0,Copyright © 2021 Bible Society Australia,https://ebible.org/Scriptures/adt_html.zip,CLD-Bible-adnyamathanha
adzera,Bible in Adzera,"The Bible, translated into Adzera.",ebible.org,Wycliffe Bible Translators (2009): Adzera Baibel [The Bible in Adzera]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/adz_html.zip,,Primary texts,Wycliffe Bible Translators,2009,2024-02-02,CCBYNCND-4.0,"Copyright © 2009-2022 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/adz_html.zip,CLD-Bible-adzera
tunisianarabic,Bible in Tunisian Arabic,"The Bible, translated into Tunisian Arabic.",ebible.org,"Wycliffe Bible Translators, Inc. (2020): العهد الجديد بالدارجة التونسية 2022 [The Bible in Tunisian Arabic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aeb_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2020,2023-01-06,All rights reserved,"Copyright © 2020 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aeb_html.zip,CLD-Bible-tunisianarabic
easternarrernte,Bible in Eastern Arrernte,"The Bible, translated into Eastern Arrernte.",ebible.org, (2002): Angkentye Mwerre [The Bible in Eastern Arrernte]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aer_html.zip,,Primary texts,,2002,2019-05-14,CCBYNCND-4.0,Copyright © 2002-2014 Wycliffe Bible Translators,https://ebible.org/Scriptures/aer_html.zip,CLD-Bible-easternarrernte
akeu,Bible in Akeu,"The Bible, translated into Akeu.",ebible.org,"Wycliffe Bible Translators, Inc. (2015): Jalliq aqsivq Gaolkheel daoq [The Bible in Akeu]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aeu_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2015,2020-11-13,All rights reserved,"Copyright © 2015 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aeu_html.zip,CLD-Bible-akeu
amele,Bible in Amele,"The Bible, translated into Amele.",ebible.org,Wycliffe Bible Translators (1997): BAL CEHEC JE HAUN [The Bible in Amele]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aey_html.zip,,Primary texts,Wycliffe Bible Translators,1997,1997-01-01,CCBYNCND-4.0,"Copyright © 1997 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aey_html.zip,CLD-Bible-amele
agarabi,Bible in Agarabi,"The Bible, translated into Agarabi.",ebible.org,Wycliffe Bible Translators (2010): YISASINI KAMA VAYA [The Bible in Agarabi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agd_html.zip,,Primary texts,Wycliffe Bible Translators,2010,2013-01-07,CCBYNCND-4.0,Copyright © 2010 The Bible Society of Papua New Guinea,https://ebible.org/Scriptures/agd_html.zip,CLD-Bible-agarabi
angor,Bible in Angor,"The Bible, translated into Angor.",ebible.org,Wycliffe Bible Translators (2001): Godɨndɨ Hoafɨ [The Bible in Angor]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agg_html.zip,,Primary texts,Wycliffe Bible Translators,2001,2013-01-07,CCBYNCND-4.0,Copyright © 2001 The Bible Society of Papua New Guinea,https://ebible.org/Scriptures/agg_html.zip,CLD-Bible-angor
angaataha,Bible in Angaataha,"The Bible, translated into Angaataha.",ebible.org,PNG Bible Translation Association (2004): Autaahaatɨhomɨ Pɨwɨha Gaaha Wanɨha [The Bible in Angaataha]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agm_html.zip,,Primary texts,PNG Bible Translation Association,2004,2012-11-17,CCBYNCND-4.0,"Copyright © 2004 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/agm_html.zip,CLD-Bible-angaataha
agutaynen,Bible in Agutaynen,"The Bible, translated into Agutaynen.",ebible.org,"Wycliffe Bible Translators, Inc. (2004): Ang bitala tang Dios: ba-long inigoan; Ang bagong magandang balita: bagong tipan [The Bible in Agutaynen]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agn_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2004,2014-08-06,CCBYNCND-4.0,"Copyright © 2004 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/agn_html.zip,CLD-Bible-agutaynen
aguaruna,Bible in Aguaruna,"The Bible, translated into Aguaruna.",ebible.org,Wycliffe Bible Translators (2020): Awajún [Aguaruna] [The Bible in Aguaruna]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agr_html.zip,,Primary texts,Wycliffe Bible Translators,2020,2015-03-17,CCBYNCND-4.0,"Copyright © 2020 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/agr_html.zip,CLD-Bible-aguaruna
centralcagayanagta,Bible in Central Cagayan Agta,"The Bible, translated into Central Cagayan Agta.",ebible.org,Wycliffe Bible Translators (1992): Uhohug na Namaratu gafu te Hesus Kristu [The Bible in Central Cagayan Agta]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/agt_html.zip,,Primary texts,Wycliffe Bible Translators,1992,2015-03-17,CCBYNCND-4.0,"Copyright © 1992 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/agt_html.zip,CLD-Bible-centralcagayanagta
aguacatecobl,Bible in Aguacateco,"The Bible, translated into Aguacateco.",ebible.org,"Wycliffe Bible Translators, Inc. (2011): Yi Antiw Bible / Yi Ac'aj Testament [The Bible in Aguacateco]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aguBl_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2011,2011-02-18,CCBYNCND-4.0,"Copyright © 2011 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aguBl_html.zip,CLD-Bible-aguacatecobl
ahirani,Bible in Ahirani,"The Bible, translated into Ahirani.",ebible.org,The Word for the World International (2023): प्रेम संदेश [The Bible in Ahirani]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ahr_html.zip,,Primary texts,The Word for the World International,2023,2023-04-07,CCBY-4.0,Copyright © 2023 The Word for the World International,https://ebible.org/Scriptures/ahr_html.zip,CLD-Bible-ahirani
arosi,Bible in Arosi,"The Bible, translated into Arosi.",ebible.org,SITAG (2005): Taroha Goro mana Usuusu Maea [The Bible in Arosi]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aia_html.zip,,Primary texts,SITAG,2005,2017-11-09,CCBYND-4.0,"Copyright © 2005 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/aia_html.zip,CLD-Bible-arosi
assyrianneoaramaic,Bible in Assyrian Neo-Aramaic,"The Bible, translated into Assyrian Neo-Aramaic.",ebible.org,"Aramaic Bible Translation, Inc. (2014): ܕܝܬܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ ܘܡܙܡܘܪ̈ܐ ܒܠܫܢܐ ܐܬܘܪܝܐ [The Bible in Assyrian Neo-Aramaic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aii_html.zip",,Primary texts,"Aramaic Bible Translation, Inc.",2014,2014-08-06,CCBYNCND-4.0,"Copyright © 2014 Aramaic Bible Translation, Inc.",https://ebible.org/Scriptures/aii_html.zip,CLD-Bible-assyrianneoaramaic
akan,Bible in Akan,"The Bible, translated into Akan.",ebible.org,"Biblica, Inc. (2020): Biblica® Wonhia ɛho kwamma nhoma Asante Twi Nkwa Asɛm™ [The Bible in Akan]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aka_html.zip",,Primary texts,"Biblica, Inc.",2020,2021-06-30,CCBYSA,"Copyright © 2020 Biblica, Inc.",https://ebible.org/Scriptures/aka_html.zip,CLD-Bible-akan
akawaioingarikont,Bible in Akawaio-Ingariko,"The Bible, translated into Akawaio-Ingariko.",ebible.org,"Wycliffe Bible Translators, Inc. (2010): Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto' [The Bible in Akawaio-Ingariko]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/akeNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2010,2014-04-21,CCBYNCND-4.0,"Copyright © 2010 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/akeNT_html.zip,CLD-Bible-akawaioingarikont
angalheneng,Bible in Angal Heneng,"The Bible, translated into Angal Heneng.",ebible.org,"Wycliffe Bible Translators, Inc. (1978): Angal Heneng mbuk Ngaoran Angal Bib Hobau Sao ngo wi o [The Bible in Angal Heneng]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/akh_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1978,2020-11-10,All rights reserved,Copyright © 1978 The Bible Society of Papua New Guinea,https://ebible.org/Scriptures/akh_html.zip,CLD-Bible-angalheneng
siwu,Bible in Siwu,"The Bible, translated into Siwu.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Ndamu Ɣɛtɛ Siwu [The Bible in Siwu]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/akp_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2020-11-30,All rights reserved,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/akp_html.zip,CLD-Bible-siwu
alawa,Bible in Alawa,"The Bible, translated into Alawa.",ebible.org, (1991): Alawa Song Buk [The Bible in Alawa]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/alh_html.zip,,Primary texts,,1991,2021-11-23,CCBYNCND-4.0,Copyright © 1991 Wycliffe Bible Translators,https://ebible.org/Scriptures/alh_html.zip,CLD-Bible-alawa
alunent,Bible in Alune,"The Bible, translated into Alune.",ebible.org,"Wycliffe Bible Translators, Inc. (2012): Janji beluke [The Bible in Alune]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/alpNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2012,2014-04-21,CCBYNCND-4.0,"Copyright © 2012 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/alpNT_html.zip,CLD-Bible-alunent
algonquinalgnt,Bible in Algonquin,"The Bible, translated into Algonquin.",ebible.org,Canadian Bible Society (1998): Kije Manido Odikido8in: Ocki Mazinaigan [The Bible in Algonquin]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/alqALGNT_html.zip,,Primary texts,Canadian Bible Society,1998,2014-04-21,CCBYNCND-4.0,Copyright © 1998 Canadian Bible Society,https://ebible.org/Scriptures/alqALGNT_html.zip,CLD-Bible-algonquinalgnt
northerntoskalbanianshq,Bible in Northern Tosk Albanian,"The Bible, translated into Northern Tosk Albanian.",ebible.org,Albanian Bible Society (): Bibla e Shenjtë [The Bible in Northern Tosk Albanian]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/alsSHQ_html.zip,,Primary texts,Albanian Bible Society,,2014-09-04,Public Domain,public domain,https://ebible.org/Scriptures/alsSHQ_html.zip,CLD-Bible-northerntoskalbanianshq
alyawarr,Bible in Alyawarr,"The Bible, translated into Alyawarr.",ebible.org, (2009): Alyawarr Bible [The Bible in Alyawarr]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aly_html.zip,,Primary texts,,2009,2023-11-10,CCBYNCND-4.0,Copyright © 2009 Wycliffe Bible Translators,https://ebible.org/Scriptures/aly_html.zip,CLD-Bible-alyawarr
yaneshant,Bible in Yanesha',"The Bible, translated into Yanesha'.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Yompor Poʼñoñ ñeñt ̃ attõ Yepartseshar Jesucristo eʼñe etserra aʼpoctaterrnay Yomporesho [The Bible in Yanesha']. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/ameNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2014-04-30,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/ameNT_html.zip,CLD-Bible-yaneshant
hamerbanna,Bible in Hamer-Banna,"The Bible, translated into Hamer-Banna.",ebible.org,SIM (2014): Haalin Mallano [The Bible in Hamer-Banna]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amf_html.zip,,Primary texts,SIM,2014,2014-10-15,CCBYNCND-4.0,Copyright © 2014 SIM International,https://ebible.org/Scriptures/amf_html.zip,CLD-Bible-hamerbanna
amharic,Bible in Amharic,"The Bible, translated into Amharic.",ebible.org, (1962): መጽሐፍ ቅዱስ [The Bible in Amharic]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amh_html.zip,,Primary texts,,1962,2014-09-09,All rights reserved,"Copyright © 1962, 2003 United Bible Societies",https://ebible.org/Scriptures/amh_html.zip,CLD-Bible-amharic
ambai,Bible in Ambai,"The Bible, translated into Ambai.",ebible.org,Wycliffe Bible Translators (2010): Sempaisi Ne Kaiwo Mirarebanai [The Bible in Ambai]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amk_html.zip,,Primary texts,Wycliffe Bible Translators,2010,2015-03-17,CCBYNCND-4.0,"Copyright © 2010 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amk_html.zip,CLD-Bible-ambai
amapapuanewguinea,Bible in Ama (Papua New Guinea),"The Bible, translated into Ama (Papua New Guinea).",ebible.org,Wycliffe Bible Translators (1990): Kotoni Imo Itouniyaimo [The Bible in Ama (Papua New Guinea)]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amm_html.zip,,Primary texts,Wycliffe Bible Translators,1990,2012-11-17,CCBYNCND-4.0,"Copyright © 1990, 2009 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amm_html.zip,CLD-Bible-amapapuanewguinea
amanabamanab,Bible in Amanab,"The Bible, translated into Amanab.",ebible.org,Wycliffe Bible Translators (2001): Godna mo Awai mona go [The Bible in Amanab]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amn-amanab_html.zip,,Primary texts,Wycliffe Bible Translators,2001,2013-01-07,CCBYNCND-4.0,Copyright © 2001 The Bible Society of Papua New Guinea,https://ebible.org/Scriptures/amn-amanab_html.zip,CLD-Bible-amanabamanab
amanabn,Bible in Amanab,"The Bible, translated into Amanab.",ebible.org,Wycliffe Bible Translators (2011): Godna mo Awai mona go [The Bible in Amanab]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amn-n_html.zip,,Primary texts,Wycliffe Bible Translators,2011,2012-01-19,CCBYNCND-4.0,"Copyright © 2011 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amn-n_html.zip,CLD-Bible-amanabn
amo,Bible in Amo,"The Bible, translated into Amo.",ebible.org,"AFenlason, ALHASSAN SUDA, Chrispher Ishaya, James, Kawusu David, Pungs Makarios, Zephaniah A. Isau, tab04-nig, tab12-nig (2020): Amo New Testament [The Bible in Amo]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amo_html.zip",,Primary texts,"AFenlason, ALHASSAN SUDA, Chrispher Ishaya, James, Kawusu David, Pungs Makarios, Zephaniah A. Isau, tab04-nig, tab12-nig",2020,2020-07-06,CCBYSA,Copyright © 2020 Door43 World Missions Community,https://ebible.org/Scriptures/amo_html.zip,CLD-Bible-amo
alamblak,Bible in Alamblak,"The Bible, translated into Alamblak.",ebible.org, (2003): Bro Nkifrarhu Mrokfot [The Bible in Alamblak]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amp_html.zip,,Primary texts,,2003,2011-07-22,CCBYNCND-4.0,"Copyright © 2003, 2004 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amp_html.zip,CLD-Bible-alamblak
amarakaerint,Bible in Amarakaeri,"The Bible, translated into Amarakaeri.",ebible.org,"Wycliffe Bible Translators, Inc. (2008): Jesucristo oy oa’pak: Kenda Jesucristoa; monigka’uyatenok; Diostaj mo’manopo’yarea’ika’ne [The Bible in Amarakaeri]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amrNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2008,2024-02-11,CCBYNCND-4.0,"Copyright © 2008 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amrNT_html.zip,CLD-Bible-amarakaerint
guerreroamuzgont,Bible in Guerrero Amuzgo,"The Bible, translated into Guerrero Amuzgo.",ebible.org,"Wycliffe Bible Translators, Inc. (1999): Ñʼoom xco na tqueⁿ tyʼo̱o̱tsʼom cantxja ʼnaaʼ Jesucristo [The Bible in Guerrero Amuzgo]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amuNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1999,2024-02-11,CCBYNCND-4.0,"Copyright © 1999 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/amuNT_html.zip,CLD-Bible-guerreroamuzgont
anmatyerre,Bible in Anmatyerre,"The Bible, translated into Anmatyerre.",ebible.org, (2015): Anmatyerr Bible [The Bible in Anmatyerre]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/amx_html.zip,,Primary texts,,2015,2020-07-24,CCBYNCND-4.0,Copyright © 2015 Wycliffe Bible Translators,https://ebible.org/Scriptures/amx_html.zip,CLD-Bible-anmatyerre
nend,Bible in Nend,"The Bible, translated into Nend.",ebible.org,Bible Society of Papua New Guinea (2003): MAK Yakŋ Ohɨrand Ya Imbɨr Makɨv Mpamar [The Bible in Nend]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/anh_html.zip,,Primary texts,Bible Society of Papua New Guinea,2003,2024-02-11,CCBYSA,Copyright © 2003 Pioneer Bible Translators,https://ebible.org/Scriptures/anh_html.zip,CLD-Bible-nend
denyant,Bible in Denya,"The Bible, translated into Denya.",ebible.org,"Wycliffe Bible Translators, Inc. (2010): Ŋwɛ menomenyɛɛ́ mekɛ́ [The Bible in Denya]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/anvNT_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",2010,2024-02-11,CCBYNCND-4.0,"Copyright © 2010 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/anvNT_html.zip,CLD-Bible-denyant
anyin,Bible in Anyin,"The Bible, translated into Anyin.",ebible.org,"Wycliffe Bible Translators, Inc. (1997): Nyɩhyɛ Fʋfɔlɛʼn [The Bible in Anyin]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/any_html.zip",,Primary texts,"Wycliffe Bible Translators, Inc.",1997,2024-02-11,All rights reserved,"Copyright © 1997 Wycliffe Bible Translators, Inc.",https://ebible.org/Scriptures/any_html.zip,CLD-Bible-anyin
anindilyakwa,Bible in Anindilyakwa,"The Bible, translated into Anindilyakwa.",ebible.org, (2019): Anindilyakwa Bible [The Bible in Anindilyakwa]. Makawao: ebible.org.  URL: https://ebible.org/Scriptures/aoi_html.zip,,Primary texts,,2019,2022-05-27,CCBYNCND-4.0,Copyright © 2019 Bible Society of Australia,https://ebible.org/Scriptures/aoi_html.zip,CLD-Bible-anindilyakwa
